title,Year of Release,Domestic Distributor,Domestic Opening,Budget,MPAA Rating,Running Time,Genres,Original Release Gross Worldwide
Avatar,2009,Twentieth Century Fox,77025481,237000000,PG-13,162.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",2743577587
Avengers: Endgame,2019,Walt Disney Studios Motion Pictures,357115007,356000000,PG-13,181.0,"['Action', 'Adventure', 'Drama', 'Science fiction']",2797501328
Titanic,1997,Paramount Pictures,28638131,200000000,PG-13,194.0,"['Drama', 'Romance']",1843478449
Star Wars: Episode VII - The Force Awakens,2015,Walt Disney Studios Motion Pictures,247966675,245000000,PG-13,138.0,"['Action', 'Adventure', 'Science fiction']",2068223624
Jurassic World,2015,Universal Pictures,208806270,150000000,PG-13,124.0,"['Action', 'Adventure', 'Science fiction']",1670400637
The Lion King,1994,Walt Disney Studios Motion Pictures,1586753,45000000,G,88.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",858555561
The Avengers,2012,Walt Disney Studios Motion Pictures,207438708,220000000,PG-13,143.0,"['Action', 'Adventure', 'Science fiction']",1518812988
Furious 7,2015,Universal Pictures,147187040,190000000,PG-13,137.0,"['Action', 'Adventure', 'Thriller']",1515047671
Frozen II,2019,Walt Disney Studios Motion Pictures,130263358,150000000,PG,103.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1450026933
Avengers: Age of Ultron,2015,Walt Disney Studios Motion Pictures,191271109,250000000,PG-13,141.0,"['Action', 'Adventure', 'Science fiction']",1402805868
Star Wars: Episode VIII - The Last Jedi,2017,Walt Disney Studios Motion Pictures,220009584,317000000,PG-13,152.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",1332539889
Jurassic World: Fallen Kingdom,2018,Universal Pictures,148024610,170000000,PG-13,128.0,"['Action', 'Adventure', 'Science fiction']",1308467944
Frozen,2013,Walt Disney Studios Motion Pictures,243390,150000000,PG,102.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1280802282
Beauty and the Beast,1991,Walt Disney Studios Motion Pictures,162146,25000000,,84.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",248802521
The Fate of the Furious,2017,Universal Pictures,98786705,250000000,PG-13,136.0,"['Action', 'Adventure', 'Crime', 'Thriller']",1236005118
Iron Man 3,2013,Walt Disney Studios Motion Pictures,174144585,200000000,PG-13,130.0,"['Action', 'Adventure', 'Science fiction']",1214811252
Minions,2015,Universal Pictures,115718405,74000000,PG,91.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",1159398397
Captain America: Civil War,2016,Walt Disney Studios Motion Pictures,179139142,250000000,PG-13,147.0,"['Action', 'Adventure', 'Science fiction']",1153296293
The Lord of the Rings: The Return of the King,2003,New Line Cinema,72629713,94000000,PG-13,201.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",1140682011
