title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Distributor,Domestic Opening,Drama,Family,Fantasy,MPAA Rating,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release
Avatar,1.0,1.0,,237000000,,,Twentieth Century Fox,77025481,,,1.0,PG-13,2743577587,,,162.0,1.0,,2009
Avengers: Endgame,1.0,1.0,,356000000,,,Walt Disney Studios Motion Pictures,357115007,1.0,,,PG-13,2797501328,,,181.0,1.0,,2019
Titanic,,,,200000000,,,Paramount Pictures,28638131,1.0,,,PG-13,1843478449,,1.0,194.0,,,1997
Star Wars: Episode VII - The Force Awakens,1.0,1.0,,245000000,,,Walt Disney Studios Motion Pictures,247966675,,,,PG-13,2068223624,,,138.0,1.0,,2015
Jurassic World,1.0,1.0,,150000000,,,Universal Pictures,208806270,,,,PG-13,1670400637,,,124.0,1.0,,2015
The Lion King,,1.0,1.0,45000000,,,Walt Disney Studios Motion Pictures,1586753,1.0,1.0,,G,858555561,1.0,,88.0,,,1994
The Avengers,1.0,1.0,,220000000,,,Walt Disney Studios Motion Pictures,207438708,,,,PG-13,1518812988,,,143.0,1.0,,2012
Furious 7,1.0,1.0,,190000000,,,Universal Pictures,147187040,,,,PG-13,1515047671,,,137.0,,1.0,2015
Frozen II,,1.0,1.0,150000000,1.0,,Walt Disney Studios Motion Pictures,130263358,,1.0,1.0,PG,1450026933,1.0,,103.0,,,2019
Avengers: Age of Ultron,1.0,1.0,,250000000,,,Walt Disney Studios Motion Pictures,191271109,,,,PG-13,1402805868,,,141.0,1.0,,2015
Star Wars: Episode VIII - The Last Jedi,1.0,1.0,,317000000,,,Walt Disney Studios Motion Pictures,220009584,,,1.0,PG-13,1332539889,,,152.0,1.0,,2017
Jurassic World: Fallen Kingdom,1.0,1.0,,170000000,,,Universal Pictures,148024610,,,,PG-13,1308467944,,,128.0,1.0,,2018
Frozen,,1.0,1.0,150000000,1.0,,Walt Disney Studios Motion Pictures,243390,,1.0,1.0,PG,1280802282,1.0,,102.0,,,2013
Beauty and the Beast,,,1.0,25000000,,,Walt Disney Studios Motion Pictures,162146,,1.0,1.0,,248802521,1.0,1.0,84.0,,,1991
The Fate of the Furious,1.0,1.0,,250000000,,1.0,Universal Pictures,98786705,,,,PG-13,1236005118,,,136.0,,1.0,2017
Iron Man 3,1.0,1.0,,200000000,,,Walt Disney Studios Motion Pictures,174144585,,,,PG-13,1214811252,,,130.0,1.0,,2013
Minions,,1.0,1.0,74000000,1.0,1.0,Universal Pictures,115718405,,1.0,,PG,1159398397,,,91.0,1.0,,2015
Captain America: Civil War,1.0,1.0,,250000000,,,Walt Disney Studios Motion Pictures,179139142,,,,PG-13,1153296293,,,147.0,1.0,,2016
The Lord of the Rings: The Return of the King,1.0,1.0,,94000000,,,New Line Cinema,72629713,1.0,,1.0,PG-13,1140682011,,,201.0,,,2003
