title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Opening,Drama,Family,Fantasy,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release,Rating_G,Rating_PG,Rating_PG-13,Rating_R
Avatar,1.0,1.0,0.0,237000000,0.0,0.0,77025481,0.0,0.0,1.0,2743577587,0.0,0.0,162.0,1.0,0.0,2009,0,0,1,0
Avengers: Endgame,1.0,1.0,0.0,356000000,0.0,0.0,357115007,1.0,0.0,0.0,2797501328,0.0,0.0,181.0,1.0,0.0,2019,0,0,1,0
Titanic,0.0,0.0,0.0,200000000,0.0,0.0,28638131,1.0,0.0,0.0,1843478449,0.0,1.0,194.0,0.0,0.0,1997,0,0,1,0
Star Wars: Episode VII - The Force Awakens,1.0,1.0,0.0,245000000,0.0,0.0,247966675,0.0,0.0,0.0,2068223624,0.0,0.0,138.0,1.0,0.0,2015,0,0,1,0
Jurassic World,1.0,1.0,0.0,150000000,0.0,0.0,208806270,0.0,0.0,0.0,1670400637,0.0,0.0,124.0,1.0,0.0,2015,0,0,1,0
The Lion King,0.0,1.0,1.0,45000000,0.0,0.0,1586753,1.0,1.0,0.0,858555561,1.0,0.0,88.0,0.0,0.0,1994,1,0,0,0
The Avengers,1.0,1.0,0.0,220000000,0.0,0.0,207438708,0.0,0.0,0.0,1518812988,0.0,0.0,143.0,1.0,0.0,2012,0,0,1,0
Furious 7,1.0,1.0,0.0,190000000,0.0,0.0,147187040,0.0,0.0,0.0,1515047671,0.0,0.0,137.0,0.0,1.0,2015,0,0,1,0
Frozen II,0.0,1.0,1.0,150000000,1.0,0.0,130263358,0.0,1.0,1.0,1450026933,1.0,0.0,103.0,0.0,0.0,2019,0,1,0,0
Avengers: Age of Ultron,1.0,1.0,0.0,250000000,0.0,0.0,191271109,0.0,0.0,0.0,1402805868,0.0,0.0,141.0,1.0,0.0,2015,0,0,1,0
Star Wars: Episode VIII - The Last Jedi,1.0,1.0,0.0,317000000,0.0,0.0,220009584,0.0,0.0,1.0,1332539889,0.0,0.0,152.0,1.0,0.0,2017,0,0,1,0
Jurassic World: Fallen Kingdom,1.0,1.0,0.0,170000000,0.0,0.0,148024610,0.0,0.0,0.0,1308467944,0.0,0.0,128.0,1.0,0.0,2018,0,0,1,0
Frozen,0.0,1.0,1.0,150000000,1.0,0.0,243390,0.0,1.0,1.0,1280802282,1.0,0.0,102.0,0.0,0.0,2013,0,1,0,0
Beauty and the Beast,0.0,0.0,1.0,25000000,0.0,0.0,162146,0.0,1.0,1.0,248802521,1.0,1.0,84.0,0.0,0.0,1991,0,0,0,0
The Fate of the Furious,1.0,1.0,0.0,250000000,0.0,1.0,98786705,0.0,0.0,0.0,1236005118,0.0,0.0,136.0,0.0,1.0,2017,0,0,1,0
Iron Man 3,1.0,1.0,0.0,200000000,0.0,0.0,174144585,0.0,0.0,0.0,1214811252,0.0,0.0,130.0,1.0,0.0,2013,0,0,1,0
Minions,0.0,1.0,1.0,74000000,1.0,1.0,115718405,0.0,1.0,0.0,1159398397,0.0,0.0,91.0,1.0,0.0,2015,0,1,0,0
Captain America: Civil War,1.0,1.0,0.0,250000000,0.0,0.0,179139142,0.0,0.0,0.0,1153296293,0.0,0.0,147.0,1.0,0.0,2016,0,0,1,0
The Lord of the Rings: The Return of the King,1.0,1.0,0.0,94000000,0.0,0.0,72629713,1.0,0.0,1.0,1140682011,0.0,0.0,201.0,0.0,0.0,2003,0,0,1,0
Spider-Man: Far from Home,1.0,1.0,0.0,160000000,0.0,0.0,92579212,0.0,0.0,0.0,1131927996,0.0,0.0,129.0,1.0,0.0,2019,0,0,1,0
Captain Marvel,1.0,1.0,0.0,160000000,0.0,0.0,153433423,0.0,0.0,0.0,1128274794,0.0,0.0,123.0,1.0,0.0,2019,0,0,1,0
Transformers: Dark of the Moon,1.0,1.0,0.0,195000000,0.0,0.0,97852865,0.0,0.0,0.0,1123794079,0.0,0.0,154.0,1.0,0.0,2011,0,0,1,0
Skyfall,1.0,1.0,0.0,200000000,0.0,0.0,88364714,0.0,0.0,0.0,1108561013,0.0,0.0,143.0,0.0,1.0,2012,0,0,1,0
Transformers: Age of Extinction,1.0,1.0,0.0,210000000,0.0,0.0,100038390,0.0,0.0,0.0,1104054072,0.0,0.0,165.0,1.0,0.0,2014,0,0,1,0
The Dark Knight Rises,1.0,0.0,0.0,250000000,0.0,0.0,160887295,0.0,0.0,0.0,1081041287,0.0,0.0,164.0,0.0,0.0,2012,0,0,1,0
Star Wars: Episode IX - The Rise of Skywalker,1.0,1.0,0.0,275000000,0.0,0.0,177383864,0.0,0.0,1.0,1074144248,0.0,0.0,141.0,1.0,0.0,2019,0,0,1,0
Joker,0.0,0.0,0.0,55000000,0.0,1.0,96202337,1.0,0.0,0.0,1074251311,0.0,0.0,122.0,0.0,1.0,2019,0,0,0,1
Toy Story 4,0.0,1.0,1.0,200000000,1.0,0.0,120908065,0.0,1.0,1.0,1073394593,0.0,0.0,100.0,0.0,0.0,2019,1,0,0,0
Toy Story 3,0.0,1.0,1.0,200000000,1.0,0.0,110307189,0.0,1.0,1.0,1066969703,0.0,0.0,103.0,0.0,0.0,2010,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,1.0,1.0,0.0,225000000,0.0,0.0,135634554,0.0,0.0,1.0,1066179725,0.0,0.0,151.0,0.0,0.0,2006,0,0,1,0
