link_stub,title,World Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,year,Domestic Distributor,Domestic Opening,budget,MPAA,Running Time,genres,Original Release Domestic,Original Release International,Original Release Worldwide
/title/tt0499549/?ref_=bo_cso_table_1,Avatar,"$2,847,246,203","$760,507,625",26.7%,"$2,086,738,578",73.3%,2009,"Twentieth Century Fox

",77025481,237000000,PG-13,162,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",749766139,1993811448,2743577587
/title/tt4154796/?ref_=bo_cso_table_2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,"Walt Disney Studios Motion Pictures

",357115007,356000000,PG-13,181,"['Action', 'Adventure', 'Drama', 'Science fiction']",858373000,1939128328,2797501328
/title/tt0120338/?ref_=bo_cso_table_3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,"Paramount Pictures

",28638131,200000000,PG-13,194,"['Drama', 'Romance']",600788188,1242690261,1843478449
/title/tt2488496/?ref_=bo_cso_table_4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,"Walt Disney Studios Motion Pictures

",247966675,245000000,PG-13,138,"['Action', 'Adventure', 'Science fiction']",936662225,1131561399,2068223624
/title/tt4154756/?ref_=bo_cso_table_5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,"Walt Disney Studios Motion Pictures

",257698183,0,PG-13,149,"['Action', 'Adventure', 'Science fiction']",678815482,1369544272,2048359754
/title/tt0369610/?ref_=bo_cso_table_6,Jurassic World,"$1,670,516,444","$652,385,625",39%,"$1,018,130,819",61%,2015,"Universal Pictures

",208806270,150000000,PG-13,124,"['Action', 'Adventure', 'Science fiction']",652270625,1018130012,1670400637
/title/tt0110357/?ref_=bo_cso_table_36,The Lion King,"$1,063,611,805","$422,783,777",39.8%,"$640,828,028",60.2%,1994,"Walt Disney Studios Motion Pictures

",1586753,45000000,G,88,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",312855561,545700000,858555561
/title/tt0848228/?ref_=bo_cso_table_8,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,"Walt Disney Studios Motion Pictures

",207438708,220000000,PG-13,143,"['Action', 'Adventure', 'Science fiction']",623357910,895455078,1518812988
/title/tt2820852/?ref_=bo_cso_table_9,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,"Universal Pictures

",147187040,190000000,PG-13,137,"['Action', 'Adventure', 'Thriller']",353007020,1162040651,1515047671
/title/tt4520988/?ref_=bo_cso_table_10,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,"Walt Disney Studios Motion Pictures

",130263358,150000000,PG,103,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",477373578,972653355,1450026933
/title/tt2395427/?ref_=bo_cso_table_11,Avengers: Age of Ultron,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%,2015,"Walt Disney Studios Motion Pictures

",191271109,250000000,PG-13,141,"['Action', 'Adventure', 'Science fiction']",459005868,943800000,1402805868
/title/tt1825683/?ref_=bo_cso_table_12,Black Panther,"$1,347,597,973","$700,426,566",52%,"$647,171,407",48%,2018,"Walt Disney Studios Motion Pictures

",202003951,0,PG-13,134,"['Action', 'Adventure', 'Science fiction']",700059566,646853595,1346913161
/title/tt1201607/?ref_=bo_cso_table_13,Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665","$381,409,310",28.4%,"$960,912,355",71.6%,2011,"Warner Bros.

",169189427,0,PG-13,130,"['Adventure', 'Fantasy', 'Mystery']",381011219,960500000,1341511219
/title/tt2527336/?ref_=bo_cso_table_14,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830","$620,181,382",46.5%,"$712,517,448",53.5%,2017,"Walt Disney Studios Motion Pictures

",220009584,317000000,PG-13,152,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",620181382,712358507,1332539889
/title/tt4881806/?ref_=bo_cso_table_15,Jurassic World: Fallen Kingdom,"$1,310,466,296","$417,719,760",31.9%,"$892,746,536",68.1%,2018,"Universal Pictures

",148024610,170000000,PG-13,128,"['Action', 'Adventure', 'Science fiction']",417719760,890748184,1308467944
/title/tt2294629/?ref_=bo_cso_table_16,Frozen,"$1,281,508,100","$400,953,009",31.3%,"$880,555,091",68.7%,2013,"Walt Disney Studios Motion Pictures

",243390,150000000,PG,102,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",400738009,880064273,1280802282
/title/tt0101414/?ref_=bo_cso_table_88,Beauty and the Beast,"$424,967,620","$218,967,620",51.5%,"$206,000,000",48.5%,1991,"Walt Disney Studios Motion Pictures

",162146,25000000,,84,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",145863363,102939158,248802521
/title/tt3606756/?ref_=bo_cso_table_18,Incredibles 2,"$1,244,639,527","$608,581,744",48.9%,"$636,057,783",51.1%,2018,"Walt Disney Studios Motion Pictures

",182687905,0,PG,118,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Science fiction']",608581744,634223615,1242805359
/title/tt4630562/?ref_=bo_cso_table_19,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017,"Universal Pictures

",98786705,250000000,PG-13,136,"['Action', 'Adventure', 'Crime', 'Thriller']",226008385,1009996733,1236005118
/title/tt1300854/?ref_=bo_cso_table_20,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013,"Walt Disney Studios Motion Pictures

",174144585,200000000,PG-13,130,"['Action', 'Adventure', 'Science fiction']",409013994,805797258,1214811252
/title/tt2293640/?ref_=bo_cso_table_21,Minions,"$1,159,444,662","$336,045,770",29%,"$823,398,892",71%,2015,"Universal Pictures

",115718405,74000000,PG,91,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",336045770,823352627,1159398397
/title/tt3498820/?ref_=bo_cso_table_22,Captain America: Civil War,"$1,153,337,496","$408,084,349",35.4%,"$745,253,147",64.6%,2016,"Walt Disney Studios Motion Pictures

",179139142,250000000,PG-13,147,"['Action', 'Adventure', 'Science fiction']",408084349,745211944,1153296293
/title/tt1477834/?ref_=bo_cso_table_23,Aquaman,"$1,148,485,886","$335,061,807",29.2%,"$813,424,079",70.8%,2018,"Warner Bros.

",67873522,0,PG-13,143,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",335061807,813400000,1148461807
